date,Coronavirus,SARS-CoV-2,Covid Symptoms,Covid Vaccine,Intensive Care
2020-10-26,12.0,41.3975,89.875,0.76125,15.2425
2020-10-27,12.0,18.07,79.20250000000001,0.25375000000000003,13.258750000000001
2020-10-28,12.48,37.555,81.45125,1.005,15.71125
2020-10-29,12.24,24.28,82.4575,0.0,17.12875
2020-10-30,12.8,39.0475,87.18,0.255,17.41375
2020-10-31,13.92,11.38625,87.96375,0.8325,16.37375
2020-11-01,14.925,7.7075,77.375,0.0,22.715
2020-11-02,13.875,13.118749999999999,68.09125,0.125,14.91
2020-11-03,14.2125,22.41125,71.57124999999999,0.10500000000000001,19.900000000000002
2020-11-04,12.76875,7.692500000000001,61.99875,0.0975,20.393750000000004
2020-11-05,11.4,13.43125,62.480000000000004,0.0,23.13875
2020-11-06,11.381250000000001,22.958750000000002,69.73500000000001,0.21250000000000002,16.978749999999998
2020-11-07,12.3,10.5075,69.92875000000001,0.0,16.5975
2020-11-08,12.881250000000001,7.735,57.7575,2.90125,21.29875
2020-11-09,13.48125,23.087500000000002,55.725,3.535,23.425
2020-11-10,14.98125,8.07375,58.7725,3.21375,17.73375
2020-11-11,12.675,18.40375,51.91250000000001,1.59375,29.375
2020-11-12,12.375,14.2975,53.4375,2.0625,18.0675
2020-11-13,12.91875,19.28125,52.42125,0.0,15.24
2020-11-14,11.925,14.2375,51.23500000000001,1.1262500000000002,18.5425
2020-11-15,9.39,3.1925,42.002500000000005,0.3275,12.77
2020-11-16,8.43,16.35,37.321250000000006,0.535,6.76375
2020-11-17,8.25,5.3425,33.36375,0.5725,8.7775
2020-11-18,8.52,14.08125,32.177499999999995,0.8825,10.9775
2020-11-19,8.1,8.01625,28.947499999999998,0.24500000000000002,8.34375
2020-11-20,7.319999999999999,19.68625,24.332500000000003,0.5525,6.911250000000001
2020-11-21,6.96,3.3375000000000004,27.03375,0.6325000000000001,6.0975
2020-11-22,5.6000000000000005,9.39,17.991249999999997,0.43374999999999997,5.475
2020-11-23,5.325000000000001,15.3175,15.475000000000001,0.10750000000000001,4.3225
2020-11-24,5.75,10.725,16.29875,0.2675,2.8812499999999996
2020-11-25,5.5,9.87,13.55125,0.14250000000000002,3.5199999999999996
2020-11-26,5.0,6.52,12.543750000000001,0.14250000000000002,3.04875
2020-11-27,5.1000000000000005,5.133750000000001,12.7275,0.0,2.2750000000000004
2020-11-28,4.2,6.3975,12.7275,0.27375,2.7
2020-11-29,3.52,3.8112500000000002,11.7,0.305,1.7925
2020-11-30,3.37,13.8275,9.9375,0.0,1.2999999999999998
2020-12-01,6.709999999999999,20.16,19.575000000000003,0.0,2.26625
2020-12-02,6.84,12.645,22.3125,0.185,3.8462499999999995
2020-12-03,8.0,3.6,17.2125,0.95125,5.188750000000001
2020-12-04,7.35,5.5125,20.549999999999997,0.7975000000000001,4.16375
2020-12-05,7.029999999999999,1.9124999999999999,22.762500000000003,0.445,6.773750000000001
2020-12-06,4.9,0.0,21.5325,0.2375,8.0
2020-12-07,4.733750000000001,10.846250000000001,19.973750000000003,0.195,3.67
2020-12-08,4.760000000000001,8.88125,19.285,0.8425,3.28
2020-12-09,4.585000000000001,7.365,21.85875,0.0,4.73
2020-12-10,4.68125,3.0725000000000002,15.514999999999997,0.6025,4.21
2020-12-11,4.68125,9.515,19.82875,0.6425000000000001,4.71
2020-12-12,4.9437500000000005,5.2625,18.451249999999998,0.495,5.869999999999999
2020-12-13,5.6000000000000005,1.7475,19.80125,0.69375,4.2787500000000005
2020-12-14,6.390000000000001,8.6975,23.095,0.65625,2.7912500000000002
2020-12-15,6.41,10.11375,21.97125,0.32999999999999996,3.473750000000001
2020-12-16,6.450000000000001,5.86125,19.80125,1.635,2.00375
2020-12-17,6.49,1.305,20.42125,0.90375,3.2287500000000002
2020-12-18,7.01,6.5125,21.1575,2.0250000000000004,5.3812500000000005
2020-12-19,5.34,6.416250000000001,25.8075,0.0,4.611250000000001
2020-12-20,5.880000000000001,15.95,37.4775,0.74625,2.4062500000000004
2020-12-21,4.961250000000001,4.880000000000001,31.8725,0.6974999999999999,3.6049999999999995
2020-12-22,4.47125,6.15,26.6,1.03125,3.622500000000001
2020-12-23,4.585000000000001,5.23,32.442499999999995,1.68,3.1325000000000003
2020-12-24,4.47125,1.705,34.2475,0.84375,5.3025
2020-12-25,5.285,1.945,35.2925,0.91125,3.5700000000000003
2020-12-26,5.3375,8.747499999999999,38.0,1.88625,3.3512500000000003
2020-12-27,4.82125,4.56375,31.4825,5.977500000000001,2.16125
2020-12-28,4.2,5.68625,28.8075,1.8825,4.48
2020-12-29,4.2700000000000005,10.411249999999999,30.93,3.885,3.955
2020-12-30,4.4887500000000005,6.251250000000001,32.635,5.460000000000001,3.87625
2020-12-31,4.62,3.6725000000000003,28.4875,4.0275,3.22
2021-01-01,7.000000000000001,5.732500000000001,34.24875,4.785,4.3925
2021-01-02,6.65,5.37875,36.875,1.71,3.8675000000000006
2021-01-03,6.282500000000001,2.92,29.865000000000002,5.647500000000001,5.075000000000001
2021-01-04,6.483750000000001,16.042499999999997,28.957500000000003,1.435,3.69375
2021-01-05,6.22125,12.8125,27.10125,3.5825000000000005,4.7675
2021-01-06,6.1075,10.962499999999999,24.5025,0.9974999999999999,4.992500000000001
2021-01-07,6.510000000000001,14.06375,27.018749999999997,2.5525,4.34
2021-01-08,6.816250000000001,8.379999999999999,27.060000000000002,5.6825,4.211250000000001
2021-01-09,6.055000000000001,17.875,27.9675,3.42,4.6625
2021-01-10,5.8100000000000005,10.5075,20.75625,3.42625,6.42875
2021-01-11,6.0025,7.9350000000000005,17.17875,0.78375,8.45875
2021-01-12,6.0200000000000005,7.742500000000001,19.676250000000003,5.0325,5.883750000000001
2021-01-13,6.326250000000001,5.710000000000001,20.35125,2.6825,9.625
2021-01-14,6.2475000000000005,2.245,17.3475,4.17,5.61875
2021-01-15,6.720000000000001,10.5425,16.773750000000003,3.57125,4.765000000000001
2021-01-16,5.8100000000000005,5.055,14.9175,2.3475,8.33
2021-01-17,4.995,11.727500000000001,17.7125,0.99125,3.255
2021-01-18,4.5825,13.67875,17.68,1.6475,2.8275
2021-01-19,4.5525,13.145,16.412499999999998,1.325,2.5425
2021-01-20,4.852499999999999,13.1025,17.225,2.2287500000000002,1.995
2021-01-21,4.8,8.1725,17.1925,0.62625,2.9025
2021-01-22,4.8,7.49375,16.055,1.3125,4.125
2021-01-23,4.44,11.7475,15.8925,1.03,3.0975
2021-01-24,4.3125,12.997499999999999,17.387500000000003,0.0,2.9662500000000005
2021-01-25,4.425000000000001,4.995,16.6075,0.2775,5.320000000000001
2021-01-26,4.74,9.85125,18.98,0.9724999999999999,4.392500000000001
2021-01-27,4.26,9.989999999999998,14.0075,0.345,2.9837500000000006
2021-01-28,4.342499999999999,12.1475,16.900000000000002,0.375,4.2787500000000005
2021-01-29,4.529999999999999,10.305,15.8275,0.375,3.6400000000000006
2021-01-30,4.23,5.14625,17.68,0.585,3.03625
2021-01-31,3.4250000000000003,2.42875,20.7175,14.67625,4.130000000000001
2021-02-01,3.5500000000000003,4.438750000000001,16.0375,0.75,4.357500000000001
2021-02-02,3.5,7.391249999999999,17.63125,2.95375,3.3687500000000004
2021-02-03,3.5500000000000003,2.7925,14.9525,22.081249999999997,2.73875
2021-02-04,3.775,13.325000000000001,16.580000000000002,17.91125,4.558750000000001
2021-02-05,3.7,4.91375,16.715000000000003,20.2025,4.0600000000000005
2021-02-06,3.5500000000000003,1.73125,16.885,18.88875,4.43625
2021-02-07,3.6875,5.67,19.762500000000003,46.743750000000006,2.44625
2021-02-08,3.50625,3.9225000000000003,21.15,45.47125,3.6
2021-02-09,3.59375,5.6475,21.9,35.603750000000005,2.5737500000000004
2021-02-10,3.4125000000000005,10.78,20.9625,39.485,3.51375
2021-02-11,3.6,13.552499999999998,19.9125,36.02125,2.1825
2021-02-12,3.8,3.6825,19.275,42.355000000000004,4.1274999999999995
2021-02-13,3.4625000000000004,12.11625,15.1125,27.0025,1.0862500000000002
2021-02-14,4.56,2.25625,20.372500000000002,38.2525,4.375
2021-02-15,4.68,10.485,24.473750000000003,43.582499999999996,3.4387500000000006
2021-02-16,4.859999999999999,6.40375,23.645,37.47,3.9200000000000004
2021-02-17,4.8675,3.8925,27.03875,30.919999999999998,6.0024999999999995
2021-02-18,4.7925,17.73,24.683750000000003,48.64875,5.32875
2021-02-19,4.9125,9.872499999999999,24.802500000000002,48.737500000000004,2.66
2021-02-20,4.8675,9.5725,26.666249999999998,47.0725,4.9437500000000005
2021-02-21,5.95,6.48125,34.18375,47.4825,9.0
2021-02-22,5.390000000000001,9.365,36.13125,62.225,6.311249999999999
2021-02-23,5.678750000000001,9.9725,37.56625,61.485,5.22
2021-02-24,6.098750000000001,9.9725,37.87375,84.075,5.56875
2021-02-25,6.44875,12.15,36.848749999999995,51.894999999999996,7.0649999999999995
2021-02-26,7.000000000000001,4.178750000000001,35.926249999999996,72.67624999999998,7.987499999999999
2021-02-27,6.273750000000001,6.4125000000000005,36.74625,81.17750000000001,7.875
2021-02-28,6.090000000000001,19.869999999999997,43.0,95.75,4.5675
2021-03-01,5.1625000000000005,8.73875,34.7225,71.585,4.005000000000001
2021-03-02,5.3025,19.0025,36.71125,71.22749999999999,4.15125
2021-03-03,5.486250000000001,27.0625,38.10875000000001,79.48374999999999,5.0737499999999995
2021-03-04,5.888750000000001,6.0825,36.98,77.4375,5.175000000000001
2021-03-05,6.22125,11.0,42.838750000000005,72.4125,5.141249999999999
2021-03-06,5.180000000000001,6.7725,38.377500000000005,89.76875,6.097499999999999
2021-03-07,5.53875,5.7475000000000005,38.2725,85.75,6.8175
2021-03-08,5.74,5.775,35.07,84.125,5.1
2021-03-09,6.510000000000001,7.44,34.230000000000004,100.0,8.29125
2021-03-10,5.923750000000001,3.1350000000000002,37.17,85.5,10.1325
2021-03-11,6.2125,10.7425,39.69,86.875,9.067499999999999
2021-03-12,7.000000000000001,5.255,38.955,87.375,10.02
2021-03-13,5.223750000000001,3.5700000000000003,37.275000000000006,71.875,12.375
2021-03-14,4.432500000000001,6.6049999999999995,36.7225,15.27375,11.14
2021-03-15,4.14,14.2075,27.2875,6.685,4.6875
2021-03-16,4.3725000000000005,18.458750000000002,27.70375,4.77875,7.59
2021-03-17,4.3125,16.99625,29.137500000000003,4.3125,5.93125
2021-03-18,4.529999999999999,12.22375,27.24125,4.96,7.46375
2021-03-19,4.3575,15.212499999999999,24.28125,4.99625,7.0325
2021-03-20,4.44,10.375,28.3975,5.85625,9.23125
2021-03-21,5.180000000000001,5.8125,23.34,4.70125,7.2875000000000005
2021-03-22,4.9,17.825000000000003,25.353749999999998,6.081250000000001,6.0625
2021-03-23,5.1450000000000005,15.4875,23.21875,3.82,3.3750000000000004
2021-03-24,5.171250000000001,14.52375,21.575000000000003,4.43375,5.300000000000001
2021-03-25,5.1625000000000005,23.255000000000003,23.957500000000003,5.171250000000001,4.95
2021-03-26,5.486250000000001,40.125,19.6425,4.23,6.250000000000001
2021-03-27,5.1625000000000005,10.3675,20.25875,1.88,6.4375
2021-03-28,4.387499999999999,7.25,19.585,6.970000000000001,6.95625
2021-03-29,3.8925,11.440000000000001,21.025,7.178750000000001,7.3275
2021-03-30,4.2524999999999995,13.29,19.585,5.6450000000000005,5.0725
2021-03-31,4.657500000000001,19.771250000000002,20.08,7.14375,6.68625
2021-04-01,5.7,16.91,25.935,19.058750000000003,8.1475
2021-04-02,5.692500000000001,23.1325,23.7025,15.991250000000003,8.17875
2021-04-03,4.942500000000001,11.748750000000001,25.5225,25.786250000000003,8.264999999999999
2021-04-04,5.745,8.627500000000001,26.17625,16.3075,8.350000000000001
2021-04-05,6.0,11.25,29.25,24.35875,9.2125
2021-04-06,5.04,9.35875,22.04375,16.40125,8.2375
2021-04-07,4.6575,15.11875,20.583750000000002,16.74625,8.125
2021-04-08,5.22,19.51,22.155,21.67875,7.5625
2021-04-09,4.995,26.75,19.85,13.54,8.6625
2021-04-10,4.8825,7.526250000000001,22.261249999999997,15.55125,10.0
